countryName,eprtrSectorName,EPRTRAnnexIMainActivityLabel,FacilityInspireID,facilityName,City,pollutant,min_temp,DAY WITH FOGS,EPRTRSectorCode
10,4,49,6787,3423,4139,1,9.68820582416888,2,5
15,4,50,3413,6780,4366,0,12.023520572325074,1,5
28,8,58,1328,1453,3349,2,8.632193494373892,2,5
5,2,64,565,2658,2119,0,15.179215138812651,0,5
8,8,70,6222,6954,4453,2,16.03900380114851,2,5
30,2,60,326,7557,1110,0,3.081757168188392,2,5
9,4,42,2051,7447,901,1,16.682481677342633,1,5
22,6,25,4591,490,2234,1,17.699905276406017,2,5
31,2,64,5518,829,8,1,11.130712899808591,17,5
9,1,14,2252,7344,1595,1,12.305046046092686,0,5
9,4,49,2699,3318,1129,0,8.645209335163054,0,5
28,4,42,1210,5786,165,0,11.856796438548518,1,5
29,8,35,5346,6927,1761,0,7.746451657573322,0,5
5,7,53,542,5359,4555,1,19.552929053750216,2,5
24,2,64,5177,5882,426,1,13.681316969177963,2,5
20,2,64,4218,4860,4764,1,16.344029800013175,2,5
9,8,58,2511,3691,126,2,3.286132287589941,0,5
9,2,64,2519,1151,3311,1,17.48468569453174,2,5
10,2,64,7152,7946,588,1,10.904865054158629,1,5
9,4,51,2466,3904,1485,1,19.327119129995825,1,5
29,1,14,5343,854,4273,0,18.36766145072376,2,5
28,1,7,1382,1976,3438,1,20.21784559742049,2,5
20,2,64,4274,2466,1354,1,8.63376739032679,0,5
28,3,37,1217,2500,774,2,17.884576172200013,2,5
0,6,25,5,4833,561,0,12.770397389964074,1,5
10,2,64,6475,3026,2470,1,7.850716526268978,2,5
28,4,69,1656,5122,16,2,16.38519747794529,1,5
9,8,35,2487,2539,1485,1,4.634857517916629,2,5
10,8,35,6684,2546,3157,1,5.5662287852963415,1,5
14,8,58,3188,729,1249,2,11.744285872602653,0,5
8,2,60,6256,4780,2989,1,15.73932411482284,2,5
0,2,64,10,7199,4591,2,13.921040156006804,0,5
15,4,42,3389,4911,359,0,21.185991349554165,1,5
22,4,69,4803,3854,2208,2,2.514748188500496,2,5
10,4,42,7183,7724,1739,0,17.239850666817393,0,5
12,2,64,3027,717,190,0,14.394050925081586,1,5
9,8,35,2444,7340,105,1,16.45408431018032,0,5
29,8,58,5378,3816,3807,2,17.86894820309419,1,5
10,4,51,6957,1561,2510,0,7.881994210783527,2,5
23,2,64,4951,1274,1455,1,13.167607773978055,0,5
18,7,53,4106,469,1405,0,18.832630971704614,1,5
